trialNo,tablerow,soundrow,correct_answer,rt,status,trialaccuracy,totalaccuracy,participant,test,group,test_speaker,word1,word2,test_type,testpairs,correct_word,stream_type,training,beeptotalaccuracy,ppID,training_speaker,train_test_speaker_match,lateralization
1,40,40,2,1536,2,0,0,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,masihe,fanujo,seg_Unattended,masihe_fanujo,fanujo,single,AD_G1_LangA_female,12,9,F,Mismatch,both
2,38,38,2,629,1,1,1,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,shavuko,fanujo,seg_Unattended,shavuko_fanujo,fanujo,single,AD_G1_LangA_female,12,9,F,Mismatch,both
3,65,65,1,1403,1,1,2,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,biwetu,wetuxi,seg_Unattended,biwetu_wetuxi,biwetu,single,AD_G1_LangA_female,12,9,F,Match,both
4,50,50,2,1596,2,0,2,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,shavuko,herisha,seg_Unattended,shavuko_herisha,herisha,single,AD_G1_LangA_female,12,9,F,Match,both
5,4,4,2,1112,2,0,2,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,voluho,nisuda,seg_Attended,voluho_nisuda,nisuda,single,AD_G1_LangA_female,12,9,F,Mismatch,both
6,1,1,1,965,1,1,3,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,nisuda,xonisu,seg_Attended,nisuda_xonisu,nisuda,single,AD_G1_LangA_female,12,9,F,Match,both
7,8,8,1,2266,1,1,4,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,M,pejuxo,mipeju,seg_Attended,pejuxo_mipeju,pejuxo,single,AD_G1_LangA_female,12,9,F,Mismatch,both
8,56,56,1,1092,1,1,5,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,pomasi,shavuko,seg_Unattended,pomasi_shavuko,pomasi,single,AD_G1_LangA_female,12,9,F,Match,both
9,3,3,1,550,1,1,6,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,nisuda,luzuta,seg_Attended,nisuda_luzuta,nisuda,single,AD_G1_LangA_female,12,9,F,Match,both
10,39,39,1,945,1,1,7,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,fanujo,tuheri,seg_Unattended,fanujo_tuheri,fanujo,single,AD_G1_LangA_female,12,9,F,Match,both
11,47,47,2,677,2,0,7,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,wetuxi,vukoza,seg_Unattended,wetuxi_vukoza,vukoza,single,AD_G1_LangA_female,12,9,F,Match,both
12,43,43,2,466,2,0,7,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,zafanu,vukoza,seg_Unattended,zafanu_vukoza,vukoza,single,AD_G1_LangA_female,12,9,F,Match,both
13,27,27,1,1841,2,0,7,df2df9e7-5428-4ee3-9f05-92e6b869414e,AD_Group1_test,1,F,hoshife,luzuta,seg_Attended,hoshife_luzuta,hoshife,single,AD_G1_LangA_female,12,9,F,Match,both
